العام,الربع,الكيان القانوني,المكتب,باب النشاط,قسم النشاط,حجم المنشأة,عدد المنشآت المسجلة بمشترك واحد أو أكثر
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,300 ~ 399,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,>= 500,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,48
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,12
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,10 ~ 19,8
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة خدمات الاقامة والطعام,أنشطة خدمات الأطعمة والمشروبات,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,42
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,28
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,13
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,5
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",60 ~ 79,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",100 ~ 199,3
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",200 ~ 299,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",300 ~ 399,2
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",400 ~ 499,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,الرعاية مع الإقامة,1 ~ 4,2
2024,الربع الأول,جمعية,مكتب منطقة الرياض,أنشطة صحة الانسان والعمل الاجتماعي,الصحة البشرية,200 ~ 299,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الأنشطة العقارية,الأنشطة العقارية,1 ~ 4,2
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الأنشطة العقارية,الأنشطة العقارية,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الأنشطة العقارية,الأنشطة العقارية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الأنشطة المهنية والعلمية والتقنية,الأنشطة القانونية وأنشطة المحاسبة,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التشييد,تشييد المباني,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التشييد,تشييد المباني,20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التعليم,التعليم,1 ~ 4,2
